"name","date","followers","followers_change","rank","republican","followers_1k","description","date_label"
"elizabethwarren",2019-12-24,2195158,818,4,FALSE,2195,"Coronavirus yet to occur","2019-12-24 :  Coronavirus yet to occur"
"realdonaldtrump",2019-12-24,15803243,10000,2,TRUE,15803,"Coronavirus yet to occur","2019-12-24 :  Coronavirus yet to occur"
"sentedcruz",2019-12-24,421118,208,6,TRUE,421,"Coronavirus yet to occur","2019-12-24 :  Coronavirus yet to occur"
"barackobama",2019-12-25,25439110,8823,1,FALSE,25439,"Coronavirus yet to occur","2019-12-25 :  Coronavirus yet to occur"
"berniesanders",2019-12-25,3984200,2087,3,FALSE,3984,"Coronavirus yet to occur","2019-12-25 :  Coronavirus yet to occur"
"joebiden",2019-12-25,1401805,471,5,FALSE,1402,"Coronavirus yet to occur","2019-12-25 :  Coronavirus yet to occur"
"elizabethwarren",2019-12-25,2195620,462,4,FALSE,2196,"Coronavirus yet to occur","2019-12-25 :  Coronavirus yet to occur"
"realdonaldtrump",2019-12-25,15810106,6863,2,TRUE,15810,"Coronavirus yet to occur","2019-12-25 :  Coronavirus yet to occur"
"sentedcruz",2019-12-25,421299,181,6,TRUE,421,"Coronavirus yet to occur","2019-12-25 :  Coronavirus yet to occur"
"barackobama",2019-12-26,25445442,6332,1,FALSE,25445,"Coronavirus yet to occur","2019-12-26 :  Coronavirus yet to occur"
"berniesanders",2019-12-26,3986301,2101,3,FALSE,3986,"Coronavirus yet to occur","2019-12-26 :  Coronavirus yet to occur"
"joebiden",2019-12-26,1401816,11,5,FALSE,1402,"Coronavirus yet to occur","2019-12-26 :  Coronavirus yet to occur"
"elizabethwarren",2019-12-26,2196401,781,4,FALSE,2196,"Coronavirus yet to occur","2019-12-26 :  Coronavirus yet to occur"
"realdonaldtrump",2019-12-26,15819367,9261,2,TRUE,15819,"Coronavirus yet to occur","2019-12-26 :  Coronavirus yet to occur"
"sentedcruz",2019-12-26,421357,58,6,TRUE,421,"Coronavirus yet to occur","2019-12-26 :  Coronavirus yet to occur"
"barackobama",2019-12-27,25453060,7618,1,FALSE,25453,"Coronavirus yet to occur","2019-12-27 :  Coronavirus yet to occur"
"berniesanders",2019-12-27,3988432,2131,3,FALSE,3988,"Coronavirus yet to occur","2019-12-27 :  Coronavirus yet to occur"
"joebiden",2019-12-27,1402049,233,5,FALSE,1402,"Coronavirus yet to occur","2019-12-27 :  Coronavirus yet to occur"
"elizabethwarren",2019-12-27,2197493,1092,4,FALSE,2197,"Coronavirus yet to occur","2019-12-27 :  Coronavirus yet to occur"
"realdonaldtrump",2019-12-27,15826260,6893,2,TRUE,15826,"Coronavirus yet to occur","2019-12-27 :  Coronavirus yet to occur"
"sentedcruz",2019-12-27,421488,131,6,TRUE,421,"Coronavirus yet to occur","2019-12-27 :  Coronavirus yet to occur"
"barackobama",2019-12-28,25460856,7796,1,FALSE,25461,"Coronavirus yet to occur","2019-12-28 :  Coronavirus yet to occur"
"berniesanders",2019-12-28,3991388,2956,3,FALSE,3991,"Coronavirus yet to occur","2019-12-28 :  Coronavirus yet to occur"
"joebiden",2019-12-28,1402576,527,5,FALSE,1403,"Coronavirus yet to occur","2019-12-28 :  Coronavirus yet to occur"
"elizabethwarren",2019-12-28,2199173,1680,4,FALSE,2199,"Coronavirus yet to occur","2019-12-28 :  Coronavirus yet to occur"
"realdonaldtrump",2019-12-28,15832006,5746,2,TRUE,15832,"Coronavirus yet to occur","2019-12-28 :  Coronavirus yet to occur"
"sentedcruz",2019-12-28,421580,92,6,TRUE,422,"Coronavirus yet to occur","2019-12-28 :  Coronavirus yet to occur"
"barackobama",2019-12-29,25468499,7643,1,FALSE,25468,"Coronavirus yet to occur","2019-12-29 :  Coronavirus yet to occur"
"berniesanders",2019-12-29,3994175,2787,3,FALSE,3994,"Coronavirus yet to occur","2019-12-29 :  Coronavirus yet to occur"
"joebiden",2019-12-29,1402556,-20,5,FALSE,1403,"Coronavirus yet to occur","2019-12-29 :  Coronavirus yet to occur"
"elizabethwarren",2019-12-29,2199516,343,4,FALSE,2200,"Coronavirus yet to occur","2019-12-29 :  Coronavirus yet to occur"
"realdonaldtrump",2019-12-29,15841203,9197,2,TRUE,15841,"Coronavirus yet to occur","2019-12-29 :  Coronavirus yet to occur"
"sentedcruz",2019-12-29,421659,79,6,TRUE,422,"Coronavirus yet to occur","2019-12-29 :  Coronavirus yet to occur"
"barackobama",2019-12-30,25487333,18834,1,FALSE,25487,"Coronavirus yet to occur","2019-12-30 :  Coronavirus yet to occur"
"berniesanders",2019-12-30,3996109,1934,3,FALSE,3996,"Coronavirus yet to occur","2019-12-30 :  Coronavirus yet to occur"
"joebiden",2019-12-30,1403150,594,5,FALSE,1403,"Coronavirus yet to occur","2019-12-30 :  Coronavirus yet to occur"
"elizabethwarren",2019-12-30,2200370,854,4,FALSE,2200,"Coronavirus yet to occur","2019-12-30 :  Coronavirus yet to occur"
"realdonaldtrump",2019-12-30,15851926,10723,2,TRUE,15852,"Coronavirus yet to occur","2019-12-30 :  Coronavirus yet to occur"
"sentedcruz",2019-12-30,421744,85,6,TRUE,422,"Coronavirus yet to occur","2019-12-30 :  Coronavirus yet to occur"
"barackobama",2019-12-31,25536493,49160,1,FALSE,25536,"First traces of coronavirus, dozens infected","2019-12-31 :  First traces of coronavirus, dozens infected"
"berniesanders",2019-12-31,3998670,2561,3,FALSE,3999,"First traces of coronavirus, dozens infected","2019-12-31 :  First traces of coronavirus, dozens infected"
"joebiden",2019-12-31,1402735,-415,5,FALSE,1403,"First traces of coronavirus, dozens infected","2019-12-31 :  First traces of coronavirus, dozens infected"
"elizabethwarren",2019-12-31,2201027,657,4,FALSE,2201,"First traces of coronavirus, dozens infected","2019-12-31 :  First traces of coronavirus, dozens infected"
"realdonaldtrump",2019-12-31,15861288,9362,2,TRUE,15861,"First traces of coronavirus, dozens infected","2019-12-31 :  First traces of coronavirus, dozens infected"
"sentedcruz",2019-12-31,421815,71,6,TRUE,422,"First traces of coronavirus, dozens infected","2019-12-31 :  First traces of coronavirus, dozens infected"
"barackobama",2020-01-01,25560726,24233,1,FALSE,25561,"First traces of coronavirus, dozens infected","2020-01-01 :  First traces of coronavirus, dozens infected"
"berniesanders",2020-01-01,4000628,1958,3,FALSE,4001,"First traces of coronavirus, dozens infected","2020-01-01 :  First traces of coronavirus, dozens infected"
"joebiden",2020-01-01,1402530,-205,5,FALSE,1403,"First traces of coronavirus, dozens infected","2020-01-01 :  First traces of coronavirus, dozens infected"
"elizabethwarren",2020-01-01,2199958,-1069,4,FALSE,2200,"First traces of coronavirus, dozens infected","2020-01-01 :  First traces of coronavirus, dozens infected"
"realdonaldtrump",2020-01-01,15868383,7095,2,TRUE,15868,"First traces of coronavirus, dozens infected","2020-01-01 :  First traces of coronavirus, dozens infected"
"sentedcruz",2020-01-01,421905,90,6,TRUE,422,"First traces of coronavirus, dozens infected","2020-01-01 :  First traces of coronavirus, dozens infected"
"barackobama",2020-01-02,25572819,12093,1,FALSE,25573,"First traces of coronavirus, dozens infected","2020-01-02 :  First traces of coronavirus, dozens infected"
"berniesanders",2020-01-02,4001589,961,3,FALSE,4002,"First traces of coronavirus, dozens infected","2020-01-02 :  First traces of coronavirus, dozens infected"
"joebiden",2020-01-02,1402615,85,5,FALSE,1403,"First traces of coronavirus, dozens infected","2020-01-02 :  First traces of coronavirus, dozens infected"
"elizabethwarren",2020-01-02,2199844,-114,4,FALSE,2200,"First traces of coronavirus, dozens infected","2020-01-02 :  First traces of coronavirus, dozens infected"
"realdonaldtrump",2020-01-02,15875071,6688,2,TRUE,15875,"First traces of coronavirus, dozens infected","2020-01-02 :  First traces of coronavirus, dozens infected"
"sentedcruz",2020-01-02,422500,595,6,TRUE,422,"First traces of coronavirus, dozens infected","2020-01-02 :  First traces of coronavirus, dozens infected"
"barackobama",2020-01-03,25581578,8759,1,FALSE,25582,"First traces of coronavirus, dozens infected","2020-01-03 :  First traces of coronavirus, dozens infected"
