,tweet_id,is_retweet,time,text,replies,retweets,likes
204,1254145835450933249,False,2020-04-25 13:30:42,"Was just informed that the Fake News from the Thursday White House Press Conference had me speaking & asking questions of Dr. Deborah Birx. Wrong, I was speaking to our Laboratory expert, not Deborah, about sunlight etc. & the CoronaVirus. The Lamestream Media is corrupt & sick!",71959,42120,193347
205,1254077550541844480,False,2020-04-25 08:59:22,"If the Wall Street Journal “Editorial” writers had called, as they should have, they would have easily found that I was “NOT happy with the Georgia Governor on Tuesday night.” You said the opposite, and got it wrong as you often do!",17656,23291,112024
206,1254064154954076163,False,2020-04-25 08:06:08,"The Do Nothing Democrats are spending much of their money on Fake Ads. I never said that the CoronaVirus is a “Hoax”, I said that the Democrats, and the way they lied about it, are a Hoax. Also, it did start with “one person from China”, and then grew, & will be a “Miracle” end!",38076,34058,143455
207,1254061979607711745,False,2020-04-25 07:57:29,"We have now Tested more than 5 Million People. That is more than any other country in the World, and even more than  all major countries combined!",34672,28734,166831
208,1254060573655998466,False,2020-04-25 07:51:54,"It is a wonderful feeling to know that our States are loaded up with Ventilators, many brand new and high quality just off of our production lines, and that we are now in a position to help other countries that so desperately need them. Every person needing a Ventilator got one!",16049,23366,125929
209,1254050117767880706,False,2020-04-25 07:10:21,"Just spoke to Prime Minister Abiy Ahmed Ali of Ethiopia. His Country needs Ventilators, and the U.S. is in good position to help him. We will!",15203,27413,183471
210,1252632573798473731,True,2020-04-21 09:17:33,"States, tribal, local, & territorial officials: Resources are available to help quickly identify new #COVID19 cases, break chains of transmission, and protect first responders and healthcare workers from infection. https://bit.ly/2RLY9k9 pic.twitter.com/0JOUfi9908",1142,4155,15031
211,1252993080174796800,True,2020-04-22 09:10:04,Tribal leaders: You can help safeguard your communities from #COVID19 during funerals and burials. Actions like social distancing can help stop the spread of coronavirus. Learn more guidance for funerals and burials for tribal communities: https://bit.ly/2VHY1TK . pic.twitter.com/tU7hBtHvQl,565,3377,12535
212,1253085285161803777,True,2020-04-22 15:16:27,"New COVID-NET data reported more than 6,000 #COVID19 hospitalizations. Of these, almost 2,000 had race/ethnicity info. When compared to residents in COVID-NET counties, Non-Hispanic black people were disproportionately affected by COVID-19 hospitalizations https://bit.ly/3aACOAU pic.twitter.com/cei7elmBM7",553,3382,11441
213,1253341609443250176,True,2020-04-23 08:15:00,Adults age 65+ and those with underlying health conditions are at higher risk for severe illness from #COVID19. Learn more in this video with CDC’s Dr. Georgina Peacock: pic.twitter.com/8ctdhpyEEH,539,3764,12011
214,1253374836317044736,True,2020-04-23 10:27:02,Looking for #CDC #COVID19 resources for sharing on social media? CDC’s social media toolkit provides free sample messages and graphics for use here: https://bit.ly/2Xom9gY pic.twitter.com/wCF6gRRrWD,263,2769,9985
215,1252996460431507457,True,2020-04-22 09:23:30,"As @Surgeon_General explains, telemedicine doesn't just help providers deliver care during the #COVID19 outbreak – it can also help save lives: https://go.usa.gov/xvRFk pic.twitter.com/g3EU4lap8Q",644,3979,14019
216,1253008335835557889,True,2020-04-22 10:10:41,"Plasma is the liquid part of blood. Ppl who have recovered from #COVID19 may have antibodies (proteins the immune system makes after infection) in their plasma. If you’ve recovered from COVID-19, consider donating plasma to help others #DonateCOVIDPlasma https://bit.ly/3cF4Pss pic.twitter.com/qFMD04VX8e",479,4967,14037
217,1253422154256756738,True,2020-04-23 13:35:03,"We’re still learning about how #COVID19 affects animals, but it appears that people can spread the virus to animals in some situations. Until we know more, limit contact with pets if you are sick or feeling sick. For more info, see: https://bit.ly/2QPkZ9R . pic.twitter.com/uGEbo1su2O",582,4423,12133
218,1253005873934487554,True,2020-04-22 10:00:54,ICYMI: Last week @VP announced that the administration is encouraging patients who have fully recovered from #COVID-19 to visit @US_FDA's website to find out how they can #DonateCOVIDPlasma. Donating is one more important way that Americans help. https://www.fda.gov/emergency-preparedness-and-response/coronavirus-disease-2019-covid-19/donate-covid-19-plasma …,354,3501,11947
219,1253468948068290560,True,2020-04-23 16:41:00,"The latest #COVIDView report shows that adults 65 and older are experiencing the highest rates of #COVID19-associated hospitalizations, followed by adults age 50 – 64 years. Additional data are reported on race/ethnicity by age this week. Learn more: https://bit.ly/2yBOcPu pic.twitter.com/EauWxcTjKa",322,3092,9842
220,1253467642431705091,False,2020-04-23 16:35:48,"Congressman @SteveStivers is doing a terrific job for the People of Ohio! He defends our Borders, Supports our Veterans, Strong on Crime, and the Second Amendment. Steve has my Complete and Total Endorsement! https://secure.winred.com/stivers-for-congress/donate …",2975,7865,30141
221,1253467417482801154,False,2020-04-23 16:34:55,"Congressman Bill Posey is a tremendous fighter for the Great State of Florida. He is a big supporter of our #MAGA Agenda – Strong on Crime, the Second Amendment, and Loves our Veterans and Law Enforcement. Bill has my Complete and Total Endorsement!",4131,14738,67855
222,1253466787829735425,False,2020-04-23 16:32:25,"Congressman @MikeTurnerOH is a strong supporter and fighter for the People of Ohio! He will help us #MAGA! He’s Strong on the Border, Tough on Crime, will Protect our Vets, and our GREAT Second Amendment. Mike has my Complete and Total Endorsement! https://secure.winred.com/turner/donate ",1999,7325,27192
223,1253465846376280066,False,2020-04-23 16:28:40,"Congressman @Troy_Balderson is doing a GREAT job for the People of Ohio! He will always Protect your #2A, Defend our Borders, and Support Small Business – a great supporter of the #MAGA Agenda. Troy has my Complete and Total Endorsement! https://secure.winred.com/balderson-for-congress/donate …",1678,6933,25792
224,1253465581413597184,False,2020-04-23 16:27:37,"Congressman @DaveJoyceOH14 is a tremendous fighter for the Great State of Ohio! He is Tough on Crime, our Border, Second Amendment, and helps us Combat Illegal Drugs! David has my Complete and Total Endorsement! https://secure.winred.com/davejoyce/donate …",1488,6678,25479
225,1253465418263605249,False,2020-04-23 16:26:58,"Congressman @BradWenstrup is doing a tremendous job for the People of Ohio! He’s a proud Veteran and is Strong on the Border, Tough on Crime, the Second Amendment, and Supports Small Business. Brad has my Complete and Total Endorsement! https://secure.winred.com/usabrad/donate ",1436,6723,25055
226,1253464153530011650,False,2020-04-23 16:21:57,....My co-chair in Utah and a really great guy. Sean has my Complete and Total Endorsement!,898,5847,29074
227,1253464152233906178,False,2020-04-23 16:21:56,"Utah Attorney General Sean Reyes (@SeanReyesUT) is a fighter and hard worker for the Great State of Utah. He is a big supporter of our #MAGA Agenda – Strong on Crime, the Second Amendment, and Loves our Law Enforcement....",1627,9015,41491
228,1253463853645606918,False,2020-04-23 16:20:45,"Congressman John Curtis (@CurtisUT) gets things done for Utah! John fights for Small Businesses, will Lower your Taxes, and will protect your Second Amendment. He has my Complete and Total Endorsement!",1856,8759,38191
229,1253463521876217856,False,2020-04-23 16:19:26,"....He’s 100% pro-life, strong on #2A and Loves our Military and Vets. Chris has my Complete and Total Endorsement! https://secure.winred.com/chrisstewart/donate …",1055,5793,23621
230,1253463520940822538,False,2020-04-23 16:19:26,"Congressman Chris Stewart (@StewartforUtah) is a tremendous fighter for Utah. He served our Country in the U.S. Air Force, and has been a strong supporter of our #MAGA Agenda....",1139,7485,32104
231,1253463098050129923,False,2020-04-23 16:17:45,"Congressman Warren Davidson (@Vote_Davidson) is working very hard for the people of Ohio! He’s a strong supporter of our Military, Vets, Second Amendment, and #MAGA Agenda. Warren has my Complete and Total Endorsement! https://secure.winred.com/davidson/donate ",1219,6245,23964
232,1253462557010124807,False,2020-04-23 16:15:36,....Bill has my Complete and Total Endorsement! https://secure.winred.com/johnson-for-congress/donate …,861,4727,19248
233,1253462554803920902,False,2020-04-23 16:15:35,"Congressman Bill Johnson (@JohnsonLeads) is an incredible fighter for the Great State of Ohio! He’s a proud Veteran and a hard worker who Cares for our Veterans, Supports Small Business, and is Strong on the Border and Second Amendment....",1674,9286,40697
234,1253440435600556032,True,2020-04-23 14:47:42,LIVE: Press Briefing with Coronavirus Task Force https://www.pscp.tv/w/cXCy_jFxTFFHVnJ5UkFKRUp8MW5BSkVkekFqZVhHTPNsXX1UYy0n3c9bh4tRRdLr0dgjTj78Z3ZSC9mf7WMQ …,7542,6232,21697
235,1253426762928668678,False,2020-04-23 13:53:22,I will be having a White House Press Conference today at 5:45 P.M. Thank you!,18379,13469,100569
236,1253341575280656385,False,2020-04-23 08:14:52,https://www.whitehouse.gov/articles/with-excess-national-supply-exchanges-will-allow-u-s-hospitals-to-continue-meeting-ventilator-demand/ …,6102,9213,36963
237,1253341461401096193,False,2020-04-23 08:14:25,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-honoring-commitment-protect-american-workers-temporarily-pausing-immigration/ …,5750,11584,47591
238,1253341318329315328,False,2020-04-23 08:13:50,https://www.foxnews.com/politics/trump-says-thunderbirds-blue-angels-will-do-flyovers-to-honor-medical-workers …,10330,19492,89099
239,1253297383414390788,False,2020-04-23 05:19:16,Fully signed and ready to go! https://twitter.com/realDonaldTrump/status/1252418369170501639 …,11387,19389,89270
240,1252547765332324352,True,2020-04-21 03:40:33,"It is amazing that I became President of the United States with such a totally corrupt and dishonest Lamestream Media going after me all day, and all night. Either I’m really good, far better than the Fake News wants to admit, or they don’t have nearly the power as once thought!",63804,62898,341879
241,1252556676818968576,True,2020-04-21 04:15:57,"96% Approval Rating in the Republican Party. Thank you! This must also mean that, most importantly, we are doing a good (great) job in the handling of the Pandemic.",39741,35699,216818
242,1253296736589807619,False,2020-04-23 05:16:41,Please study this closely. We saved many lives with our fast action on CoronaVirus! https://twitter.com/realDonaldTrump/status/1252046878314770432 …,12990,25440,83716
243,1253083035383279618,True,2020-04-22 15:07:31,Harvard University says President @realDonaldTrump is RIGHT that it would not have been appropriate for them to receive funds meant for struggling small businesses! pic.twitter.com/bQS1TqoCJL,1423,6357,24278
244,1253296096165670914,False,2020-04-23 05:14:09,"We did it once, we will quickly do it a second time! https://twitter.com/DonaldJTrumpJr/status/1253084269347561474 …",12628,25100,128941
245,1253091763260141571,True,2020-04-22 15:42:12,President @realDonaldTrump announced that the @BlueAngels & @AFThunderbirds will be performing air shows across America in the weeks ahead to pay tribute to health care workers! pic.twitter.com/fRr5B5q1TN,1282,5620,22855
246,1253092819104862208,True,2020-04-22 15:46:24,"President @realDonaldTrump just signed a proclamation temporarily suspending immigration into the United States.

This will ensure unemployed Americans will be FIRST in line for jobs as our economy re-opens and preserve our healthcare resources for American patients.",1763,7265,32318
247,1253102278971666437,True,2020-04-22 16:23:59,President @realDonaldTrump is suspending new immigrant visas to put American communities and workers FIRST as we move toward safely reopening the economy. pic.twitter.com/OkYqOPtN8Y,2516,7634,33303
